pop1,pop2,mean_pairwise_IBD_length,lat,long
Uzbek-West,Egyptian,0.481,30.69,31.28
Iranian-South,Bashkir,1.318,54.32,56.12
Darginian,Tajik,1.572,38.41,69.6
Jew-French,Turk-South,2.087,37,35.32
general-AJ,Circassian,1.668,44.28,41.55
Jew-Yemenite,Chechen,1.257,43.33,45.65
Ukranian-East,Assyrian-MiddleEast,1.36,37.27,44.21
Turkmen,Spanish-South,0.845,37.7,-3.55
Hemshin,Circassian,2.047,44.28,41.55
Jew-Yemenite,Ukraine-AJ,1.339,50.43,30.52
Jew-Turkish,Jew-Libyan,9.191,32.92,13.18
Turkmen,Yemenite-Northwest,0.58,15.74,44.45
Assyrian-Caucasus,Kazakh-West,0.6,51.8,67.16
Jew-Iranian,Estonian,1.906,58.45,25.31
Jew-Georgian,Ukranian-East,1.783,50.74,34.39
Maltese,Italian-North,2.535,46,10
Spanish-South,Uyghur-North,0.839,43.95,80.86
Turk-West,Estonian,2.991,58.45,25.31
Ukranian-West,Sardinian,2.432,40,9
Cypriot,Romanian,1.985,45.78,22.95
Lak,Lezgin,10.565,42.05,48.1
Syrian,Gujarati,0.643,23.2,72.7
Jew-Moroccan,Lithuanian,2.687,55,23.93
Jew-Turkish,Kyrgyz-North,0.713,43.12,81.15
Iranian-South,Turk-South,1.998,37,35.32
Jew-French,Ukraine-AJ,100.126,50.43,30.52
Jew-Libyan,Somali,0.376,5.6,48.3
Jew-Georgian,BedouinA,0.964,31,35
Jew-Ethiopian,Pashtun,0.21,33.49,70.5
Russian-Southwest,Kazakh-East,2.291,44,87.46
Jew-Tunisian,Pole,1.407,51.98,19.4
Tunisian,Portuguese,2.279,39.4,-8.22
Latvia-AJ,Karachay,1.044,43.94,42.52
Jew-Kurdish,Mozabite,0.635,32,3
Darginian,French-North,2.351,50.18,2.37
Darginian,Palestinian,1.345,32.13,35.04
Iranian-South,Spanish-Catalonia,1.512,41.68,1.66
Uzbek-West,Komi,2.746,61.87,51.43
Jew-French,Karakalpak,0.966,42.48,59.61
Jew-Yemenite,Kurd,0.817,43.8,40.4
Turkmen,Darginian,1.659,42.18,47.22
general-AJ,Iranian-North,1.593,36.29,52.43
Ukranian-East,Lebanese-Muslim,1.632,33.89,35.5
Jew-Yemenite,Russia-AJ,1.52,55.75,37.62
Hemshin,Iranian-North,1.157,36.29,52.43
Jew-Turkish,Spanish-South,2.622,37.7,-3.55
Turkmen,Jew-Bulgarian,0.977,42.68,23.32
Assyrian-Caucasus,Lithuanian,1.831,55,23.93
Jew-Iranian,Russian-Arctic,1.338,63.43,45.1
Jew-Georgian,Turkmen,1.243,42.49,59.41
Turk-West,Russian-Arctic,2.247,63.43,45.1
Spanish-South,Spanish-Valencia,4.885,39.02,-0.37
Maltese,Circassian,1.389,44.28,41.55
Ukranian-West,Baloch,1.501,30.5,66.5
Jew-Tunisian,general-AJ,3.735,52.23,21.02
Cypriot,Saudi,2.075,19.75,43.35
Syrian,Pashtun,0.871,33.49,70.5
Jew-Moroccan,Balkar,1.461,43.5,43.61
Lak,Kazakh-East,1.369,44,87.46
Jew-Turkish,Yemenite-Northwest,1.56,15.74,44.45
Iranian-South,Karakalpak,0.611,42.48,59.61
Jew-Libyan,Czechia-AJ,4.761,50.08,14.47
Jew-Ethiopian,Chuvash,0.426,55.33,48.74
Russian-Southwest,Kazakh-West,2.464,51.8,67.16
Jew-Georgian,Nogai,0.834,44.82,43.22
Jew-Tunisian,Sardinian,1.646,40,9
Latvia-AJ,Jordanian,1.396,32.03,35.91
Tunisian,Spanish-North,1.483,43.05,-3.35
Iranian-South,Poland-AJ,1.648,52.25,21
Jew-Kurdish,Iranian-Central,1.395,31.43,51.07
Darginian,Ingush,4.321,43.52,44.58
Darginian,Mordvin,2.541,54.49,44.21
Turkmen,Jew-Kurdish,1.008,36.34,43.15
Uzbek-West,Azeri,1.038,40.97,47.86
Jew-French,Turk-Central,1.619,38.73,35.48
Jew-Yemenite,Avar,0.75,41.93,47.33
general-AJ,BedouinB,1.812,31,35
Jew-Yemenite,Bashkir,0.505,54.32,56.12
Ukranian-East,Hazara,1.613,33.5,70
Jew-Turkish,Darginian,0.775,42.18,47.22
Turkmen,Hungary-AJ,1.128,47.5,19.08
Assyrian-Caucasus,Balkar,1.659,43.5,43.61
Hemshin,BedouinB,1.101,31,35
Jew-French,Russia-AJ,86.449,55.75,37.62
Jew-Iranian,Karelian,1.296,60.85,32.14
Jew-Georgian,Turk-West,1.05,37.92,27.75
Turk-West,Karelian,2.775,60.85,32.14
Spanish-South,Moldavian,2.566,46.51,29.66
Ukranian-West,Swede,7.046,59.31,18
Maltese,Iranian-North,1.157,36.29,52.43
Jew-Tunisian,Jew-Yemenite,1.064,15.35,44.2
Cypriot,Portuguese,2.004,39.4,-8.22
Syrian,Chuvash,1.356,55.33,48.74
Jew-Moroccan,Kabardian,1.595,43.45,43.37
Lak,Kazakh-West,1.165,51.8,67.16
Jew-Turkish,Jew-Bulgarian,12.948,42.68,23.32
Iranian-South,Turk-Central,0.844,38.73,35.48
Jew-Libyan,Lezgin,0.84,42.05,48.1
Jew-Ethiopian,Ossetian,0.229,43.07,44.23
Russian-Southwest,Lithuanian,16.702,55,23.93
Tunisian,French-Northeast,1.114,48.76,6.13
Latvia-AJ,Finn,2.443,60.39,24.49
Jew-Georgian,Kyrgyz-North,0.355,43.12,81.15
Iranian-South,Russian-Central,1.455,57.19,38.52
Jew-Tunisian,Baloch,0.82,30.5,66.5
Darginian,Chechen,7.925,43.33,45.65
Jew-Kurdish,Romania-AJ,1.91,44.43,26.1
Darginian,Ukraine-AJ,1.776,50.43,30.52
Turkmen,Jew-Iranian,0.755,35.7,51.42
Uzbek-West,Armenian,1.072,40.2,44.39
Jew-French,Moroccan,1.66,33.53,-7.58
Jew-Yemenite,Turk-South,1.311,37,35.32
Jew-Yemenite,Spanish-Catalonia,1.201,41.68,1.66
Ukranian-East,Kumyk,3.274,43.18,46.76
general-AJ,Jew-Uzbek,2.549,41.31,69.29
Turkmen,Georgian,1.272,41.96,42.06
Jew-Turkish,Jew-Kurdish,1.527,36.34,43.15
Assyrian-Caucasus,Kabardian,1.464,43.45,43.37
Jew-French,Bashkir,1.501,54.32,56.12
Jew-Georgian,Maltese,0.693,35.94,14.38
Jew-Iranian,Gujarati,0.677,23.2,72.7
Hemshin,Jew-Uzbek,1.361,41.31,69.29
Turk-West,Gujarati,0.801,23.2,72.7
Spanish-South,Jew-Azeri,1.219,40.88,48.02
Jew-Tunisian,Uzbek-West,1.057,41.55,60.63
Ukranian-West,Brahui,1.215,30.5,66.5
Syrian,Ossetian,1.148,43.07,44.23
Cypriot,Spanish-North,2.015,43.05,-3.35
Maltese,BedouinB,1.453,31,35
Jew-Moroccan,Belarusian,2.847,53.64,27.47
Lak,Lithuanian,3.267,55,23.93
Jew-Libyan,Kazakh-East,0.804,44,87.46
Iranian-South,Moroccan,1.086,33.53,-7.58
Jew-Ethiopian,Turk-Northwest,0.418,40.4,28.56
Jew-Turkish,Hungary-AJ,15.247,47.5,19.08
Russian-Southwest,Balkar,2.958,43.5,43.61
Tunisian,French-Northwest,0.965,48.25,-3.24
Jew-Georgian,Yemenite-Northwest,1.101,15.74,44.45
Darginian,Kurd,0.992,43.8,40.4
Jew-Tunisian,Swede,1.665,59.31,18
Latvia-AJ,Jew-Italian,37.364,41.9,12.48
Turkmen,Lak,1.726,42.17,47.12
Darginian,Russia-AJ,1.583,55.75,37.62
Uzbek-West,Pole,3.254,51.98,19.4
Jew-French,Romanian,2.16,45.78,22.95
Jew-Yemenite,Karakalpak,0.839,42.48,59.61
Jew-Kurdish,BedouinA,1.414,31,35
Jew-Yemenite,Poland-AJ,1.341,52.25,21
general-AJ,Greek-North,3.249,40.64,22.94
Assyrian-Caucasus,Belarusian,1.272,53.64,27.47
Turkmen,Germany-AJ,1.286,52.52,13.4
Ukranian-East,Orcadian,4.641,59,-3
Jew-Turkish,Jew-Iranian,2.278,35.7,51.42
Hemshin,Greek-North,2.035,40.64,22.94
Jew-French,Spanish-Catalonia,2.526,41.68,1.66
Jew-Georgian,Tunisian,0.548,36.82,10.17
Jew-Iranian,Pashtun,0.801,33.49,70.5
Jew-Tunisian,Hemshin,1.038,41,39.7
Turk-West,Pashtun,0.891,33.49,70.5
Spanish-South,Karachay,1.64,43.94,42.52
Ukranian-West,Uzbek-East,2.009,41.18,69.22
Syrian,Turk-Northwest,0.869,40.4,28.56
Maltese,Jew-Uzbek,1.521,41.31,69.29
Cypriot,French-Northeast,1.253,48.76,6.13
Jew-Moroccan,Basque-France,2.375,43,0
Jew-Libyan,Kazakh-West,0.481,51.8,67.16
Lak,Balkar,3.447,43.5,43.61
Jew-Turkish,Georgian,1.14,41.96,42.06
Iranian-South,Romanian,1.41,45.78,22.95
Jew-Ethiopian,Egyptian,0.827,30.69,31.28
Russian-Southwest,Kabardian,3.452,43.45,43.37
Tunisian,Czech,1.239,50.1,14.4
Jew-Georgian,Jew-Bulgarian,1.978,42.68,23.32
Jew-Tunisian,Brahui,0.945,30.5,66.5
Turkmen,Punjabi,0.847,29.89,74.48
Darginian,Avar,18.285,41.93,47.33
Ukranian-West,Russian-Southwest,12.976,51.34,36.86
Uzbek-West,Sardinian,0.945,40,9
Darginian,Bashkir,1.789,54.32,56.12
Jew-French,Saudi,1.403,19.75,43.35
general-AJ,German,3.251,51.48,10.37
Latvia-AJ,Italian-Northwest,2.106,45.05,7.52
Jew-Yemenite,Russian-Central,0.868,57.19,38.52
Jew-Yemenite,Turk-Central,1.064,38.73,35.48
Jew-Kurdish,Nogai,1.169,44.82,43.22
Assyrian-Caucasus,Basque-France,1.275,43,0
Turkmen,Tatar-Volga,2.378,54.19,52.71
Ukranian-East,Uyghur-North,1.425,43.95,80.86
Jew-Turkish,Lak,0.76,42.17,47.12
Hemshin,German,1.99,51.48,10.37
Jew-Georgian,Jew-Turkish,2.803,41.02,28.95
Jew-Tunisian,Iranian-South,0.881,27.18,56.27
Jew-Iranian,Chuvash,1.238,55.33,48.74
Turk-West,Chuvash,2.393,55.33,48.74
Spanish-South,Jordanian,1.132,32.03,35.91
Ukranian-West,Tatar-Siberia,3.279,57.75,67.71
Syrian,Egyptian,1.395,30.69,31.28
Maltese,Greek-North,2.049,40.64,22.94
Cypriot,French-Northwest,1.361,48.25,-3.24
Jew-Libyan,Lithuanian,1.75,55,23.93
Jew-Moroccan,Croat,2.11,43.63,16.84
Lak,Kabardian,2.598,43.45,43.37
Jew-Ethiopian,Komi,0.149,61.87,51.43
Iranian-South,Saudi,1.666,19.75,43.35
Jew-Turkish,Germany-AJ,19.078,52.52,13.4
Russian-Southwest,Belarusian,14.872,53.64,27.47
Jew-Georgian,Hungary-AJ,1.227,47.5,19.08
Tunisian,Assyrian-MiddleEast,1.088,37.27,44.21
Turkmen,Lebanese-Christian,0.644,33.89,35.5
Jew-Tunisian,Uzbek-East,0.947,41.18,69.22
general-AJ,Somali,0.276,5.6,48.3
Darginian,Turk-South,1.957,37,35.32
Ukranian-West,Ukranian-East,13.804,50.74,34.39
Darginian,Spanish-Catalonia,1.768,41.68,1.66
Jew-French,Portuguese,2.336,39.4,-8.22
Uzbek-West,Baloch,1.266,30.5,66.5
Latvia-AJ,Ukranian-Central,3.745,50.47,30.3
Jew-Yemenite,Moroccan,1.005,33.53,-7.58
Assyrian-Caucasus,Croat,1.478,43.63,16.84
Ukranian-East,Spanish-Valencia,3.122,39.02,-0.37
Jew-Kurdish,Kyrgyz-North,0.776,43.12,81.15
Turkmen,Yemenite-Desert,0.475,16.48,50.03
Jew-Turkish,Punjabi,0.419,29.89,74.48
Hemshin,Somali,0.262,5.6,48.3
Jew-French,Poland-AJ,111.435,52.25,21
Jew-Georgian,Syrian,1.15,35.13,36.87
Jew-Tunisian,Ukranian-West,1.121,50.3,25.49
Jew-Iranian,Ossetian,1.216,43.07,44.23
Turk-West,Ossetian,1.762,43.07,44.23
Spanish-South,Finn,3.387,60.39,24.49
Syrian,Komi,0.944,61.87,51.43
Ukranian-West,Spanish-Central,3.729,40.36,-3.74
Cypriot,Czech,1.746,50.1,14.4
Maltese,German,2.648,51.48,10.37
Jew-Libyan,Balkar,1.313,43.5,43.61
Jew-Moroccan,Sicilian-West,2.292,38.02,12.52
Lak,Belarusian,2.832,53.64,27.47
Jew-Ethiopian,Azeri,0.351,40.97,47.86
Iranian-South,Portuguese,1.761,39.4,-8.22
Russian-Southwest,Basque-France,3.185,43,0
Jew-Turkish,Tatar-Volga,1.912,54.19,52.71
Jew-Georgian,Georgian,1.5,41.96,42.06
Tunisian,Lebanese-Muslim,0.828,33.89,35.5
Darginian,Karakalpak,1.428,42.48,59.61
Turkmen,Bulgarian,1.847,42.16,24.74
Jew-Tunisian,Tatar-Siberia,0.735,57.75,67.71
Ukranian-West,Turkmen,1.816,42.49,59.41
Uzbek-West,Swede,2.38,59.31,18
Latvia-AJ,Tabasaran,1.689,42.05,47.81
Darginian,Poland-AJ,1.753,52.25,21
Jew-French,Spanish-North,2.31,43.05,-3.35
Assyrian-Caucasus,Sicilian-West,1.137,38.02,12.52
Jew-Yemenite,Romanian,1.218,45.78,22.95
Uzbek-West,Hemshin,1.02,41,39.7
general-AJ,Czechia-AJ,84.705,50.08,14.47
Hemshin,Czechia-AJ,1.552,50.08,14.47
Ukranian-East,Moldavian,7.955,46.51,29.66
Jew-Kurdish,Yemenite-Northwest,1.507,15.74,44.45
Turkmen,Lithuania-AJ,1.53,54.68,25.32
Jew-Turkish,Lebanese-Christian,1.825,33.89,35.5
Jew-Georgian,Jew-Libyan,1.635,32.92,13.18
Jew-French,Russian-Central,2.259,57.19,38.52
Jew-Tunisian,Russian-Southwest,1.341,51.34,36.86
Turk-West,Turk-Northwest,1.926,40.4,28.56
Jew-Iranian,Turk-Northwest,1.402,40.4,28.56
Maltese,Somali,0.182,5.6,48.3
Cypriot,Assyrian-MiddleEast,1.575,37.27,44.21
Spanish-South,Jew-Italian,3.019,41.9,12.48
Syrian,Azeri,1.148,40.97,47.86
Ukranian-West,Hungarian,10.226,47.49,19.07
Jew-Libyan,Kabardian,2.033,43.45,43.37
Jew-Moroccan,Udmurt,1.148,56.43,52.66
Jew-Ethiopian,Armenian,0.497,40.2,44.39
Lak,Basque-France,1.591,43,0
Iranian-South,Spanish-North,1.799,43.05,-3.35
Jew-Georgian,Germany-AJ,1.829,52.52,13.4
Jew-Turkish,Yemenite-Desert,1.287,16.48,50.03
Russian-Southwest,Croat,9.346,43.63,16.84
Tunisian,Hazara,0.281,33.5,70
Turkmen,Albanian,1.211,41.32,19.82
Ukranian-West,Turk-West,2.658,37.92,27.75
Darginian,Turk-Central,1.779,38.73,35.48
Jew-Tunisian,Spanish-Central,1.883,40.36,-3.74
Uzbek-West,Brahui,1.29,30.5,66.5
Latvia-AJ,Veps,2.548,61.3,35.01
Jew-French,French-Northeast,2.723,48.76,6.13
Assyrian-Caucasus,Udmurt,1.473,56.43,52.66
Darginian,Russian-Central,2.292,57.19,38.52
Uzbek-West,Iranian-South,1.093,27.18,56.27
Jew-Kurdish,Jew-Bulgarian,1.855,42.68,23.32
general-AJ,Lezgin,1.935,42.05,48.1
Hemshin,Lezgin,1.539,42.05,48.1
Turkmen,Roman-Iberia,1.43,40.67,-3.14
Jew-Yemenite,Saudi,3.07,19.75,43.35
Ukranian-East,Jew-Azeri,1.937,40.88,48.02
Jew-Turkish,Bulgarian,1.954,42.16,24.74
Jew-Georgian,Spanish-South,1.227,37.7,-3.55
Jew-Tunisian,Ukranian-East,0.996,50.74,34.39
Turk-West,Egyptian,0.864,30.69,31.28
Maltese,Czechia-AJ,1.977,50.08,14.47
Cypriot,Lebanese-Muslim,1.595,33.89,35.5
Jew-Iranian,Egyptian,1.268,30.69,31.28
Spanish-South,Italian-Northwest,2.459,45.05,7.52
Syrian,Armenian,1.248,40.2,44.39
Ukranian-West,Mozabite,1.327,32,3
Jew-Libyan,Belarusian,2.021,53.64,27.47
Lak,Croat,1.999,43.63,16.84
Jew-Moroccan,Belarus-AJ,6.821,53.9,27.57
Jew-Ethiopian,Pole,0.263,51.98,19.4
Iranian-South,French-Northeast,1.267,48.76,6.13
Jew-Georgian,Tatar-Volga,1.027,54.19,52.71
Russian-Southwest,Sicilian-West,2.556,38.02,12.52
Jew-Turkish,Lithuania-AJ,15.227,54.68,25.32
Ukranian-West,Maltese,2.312,35.94,14.38
Tunisian,Kumyk,0.744,43.18,46.76
Turkmen,Turk-Northeast,0.958,41,39.73
Darginian,Moroccan,0.85,33.53,-7.58
Jew-Tunisian,Hungarian,1.573,47.49,19.07
Uzbek-West,Uzbek-East,2.725,41.18,69.22
general-AJ,Kazakh-East,1.318,44,87.46
Jew-French,French-Northwest,2.403,48.25,-3.24
Assyrian-Caucasus,Belarus-AJ,1.812,53.9,27.57
Latvia-AJ,Norwegian,2.083,60.32,5.81
Uzbek-West,Ukranian-West,2.911,50.3,25.49
Jew-Kurdish,Hungary-AJ,1.886,47.5,19.08
Turkmen,Yemenite-Highlands,0.428,14.34,44.68
Hemshin,Kazakh-East,0.974,44,87.46
Jew-Yemenite,Portuguese,0.88,39.4,-8.22
Ukranian-East,Karachay,3.363,43.94,42.52
Jew-Georgian,Darginian,1.545,42.18,47.22
Jew-Turkish,Albanian,2.579,41.32,19.82
Jew-Tunisian,Turkmen,0.685,42.49,59.41
Turk-West,Komi,2.735,61.87,51.43
Maltese,Lezgin,1.209,42.05,48.1
Cypriot,Hazara,0.844,33.5,70
Spanish-South,Ukranian-Central,4.035,50.47,30.3
Syrian,Pole,1.085,51.98,19.4
Jew-Iranian,Komi,1.413,61.87,51.43
Jew-Ethiopian,Sardinian,0.261,40,9
Jew-Libyan,Basque-France,2.078,43,0
Ukranian-West,Iranian-Central,1.319,31.43,51.07
Lak,Sicilian-West,1.357,38.02,12.52
Jew-Moroccan,Sindhi,0.755,25.49,69
Iranian-South,French-Northwest,1.557,48.25,-3.24
Jew-Georgian,Yemenite-Desert,0.899,16.48,50.03
Russian-Southwest,Udmurt,5.571,56.43,52.66
Jew-Turkish,Roman-Iberia,1.507,40.67,-3.14
Ukranian-West,Tunisian,1.582,36.82,10.17
Tunisian,Orcadian,1.095,59,-3
Turkmen,Russian-Northwest,2.636,57.59,28.73
Darginian,Romanian,2.075,45.78,22.95
Jew-Tunisian,Mozabite,2.823,32,3
general-AJ,Kazakh-West,1.256,51.8,67.16
Assyrian-Caucasus,Sindhi,0.677,25.49,69
Uzbek-West,Russian-Southwest,3.74,51.34,36.86
Jew-French,Czech,4.066,50.1,14.4
Uzbek-West,Tatar-Siberia,2.679,57.75,67.71
Jew-Kurdish,Georgian,1.056,41.96,42.06
Hemshin,Kazakh-West,0.685,51.8,67.16
Latvia-AJ,Abkhasian,1.361,43.04,40.93
Jew-Yemenite,Spanish-North,0.946,43.05,-3.35
Turkmen,Spanish-Balearic,1.445,39.33,2.37
Jew-Kurdish,Jew-Iranian,13.186,35.7,51.42
Ukranian-East,Jordanian,1.276,32.03,35.91
Jew-Tunisian,Turk-West,1.254,37.92,27.75
Jew-Georgian,Jew-Kurdish,7.822,36.34,43.15
Jew-Turkish,Turk-Northeast,1.575,41,39.73
Turk-West,Azeri,1.285,40.97,47.86
Maltese,Kazakh-East,0.657,44,87.46
Cypriot,Kumyk,1.711,43.18,46.76
Jew-Ethiopian,Baloch,0.177,30.5,66.5
Syrian,Sardinian,0.81,40,9
Jew-Libyan,Croat,1.568,43.63,16.84
Jew-Iranian,Azeri,1.219,40.97,47.86
Spanish-South,Tabasaran,2.304,42.05,47.81
Lak,Udmurt,2.578,56.43,52.66
Ukranian-West,Romania-AJ,6.008,44.43,26.1
Jew-Moroccan,Italian-South,2.36,41.89,14.49
Iranian-South,Czech,1.638,50.1,14.4
Jew-Georgian,Lithuania-AJ,1.728,54.68,25.32
Russian-Southwest,Belarus-AJ,4.299,53.9,27.57
Ukranian-West,Jew-Turkish,2.099,41.02,28.95
Jew-Turkish,Yemenite-Highlands,1.003,14.34,44.68
Tunisian,Uyghur-North,0.42,43.95,80.86
Turkmen,Latvian,2.697,56.91,24.1
general-AJ,Lithuanian,4.528,55,23.93
Darginian,Saudi,0.729,19.75,43.35
Uzbek-West,Ukranian-East,3.102,50.74,34.39
Assyrian-Caucasus,Italian-South,1.503,41.89,14.49
Jew-Tunisian,Iranian-Central,0.883,31.43,51.07
Jew-Yemenite,French-Northeast,0.738,48.76,6.13
Uzbek-West,Spanish-Central,1.051,40.36,-3.74
Hemshin,Lithuanian,2.297,55,23.93
Jew-Kurdish,Germany-AJ,1.809,52.52,13.4
Turkmen,Druze,0.836,32.05,35.02
Jew-French,Assyrian-MiddleEast,1.795,37.27,44.21
Jew-Kurdish,Lak,1.882,42.17,47.12
Latvia-AJ,Icelandic,2.28,64.13,-21.93
Ukranian-East,Finn,11.242,60.39,24.49
Jew-Tunisian,Maltese,1.442,35.94,14.38
Jew-Georgian,Jew-Iranian,10.881,35.7,51.42
Jew-Turkish,Russian-Northwest,2.221,57.59,28.73
Maltese,Kazakh-West,0.883,51.8,67.16
Turk-West,Armenian,1.408,40.2,44.39
Cypriot,Orcadian,1.368,59,-3
Jew-Ethiopian,Swede,0.276,59.31,18
Jew-Libyan,Sicilian-West,1.572,38.02,12.52
Syrian,Baloch,0.817,30.5,66.5
Lak,Belarus-AJ,1.691,53.9,27.57
Jew-Iranian,Armenian,1.542,40.2,44.39
Spanish-South,Veps,3.705,61.3,35.01
Iranian-South,Assyrian-MiddleEast,1.293,37.27,44.21
Jew-Moroccan,Tuscan,2.074,43.36,11.12
Jew-Georgian,Roman-Iberia,1.201,40.67,-3.14
Ukranian-West,BedouinA,1.084,31,35
Russian-Southwest,Sindhi,1.713,25.49,69
Ukranian-West,Syrian,1.08,35.13,36.87
Jew-Turkish,Spanish-Balearic,2.303,39.33,2.37
Tunisian,Spanish-Valencia,1.057,39.02,-0.37
general-AJ,Balkar,2.008,43.5,43.61
Turkmen,Gagauz,1.191,45.54,28.38
Darginian,Portuguese,1.823,39.4,-8.22
Uzbek-West,Turkmen,3.554,42.49,59.41
Assyrian-Caucasus,Tuscan,1.564,43.36,11.12
Jew-Kurdish,Tatar-Volga,1.225,54.19,52.71
Uzbek-West,Hungarian,2.289,47.49,19.07
Turkmen,Adygei,1.311,44.39,39.31
Jew-Tunisian,Romania-AJ,3.769,44.43,26.1
Jew-French,Lebanese-Muslim,1.587,33.89,35.5
Jew-Yemenite,French-Northwest,0.757,48.25,-3.24
Hemshin,Balkar,1.97,43.5,43.61
Jew-Kurdish,Punjabi,0.765,29.89,74.48
Latvia-AJ,Italian-North,1.872,46,10
Ukranian-East,Jew-Italian,2.416,41.9,12.48
Jew-Tunisian,Tunisian,2.303,36.82,10.17
Jew-Georgian,Lak,0.979,42.17,47.12
Jew-Turkish,Latvian,2.551,56.91,24.1
Maltese,Lithuanian,2.573,55,23.93
Turk-West,Pole,3.354,51.98,19.4
Jew-Ethiopian,Brahui,0.217,30.5,66.5
Cypriot,Uyghur-North,0.745,43.95,80.86
Jew-Libyan,Udmurt,0.865,56.43,52.66
Lak,Sindhi,1.449,25.49,69
Syrian,Swede,1.081,59.31,18
Jew-Iranian,Pole,1.626,51.98,19.4
Jew-Moroccan,Slovenian,2.084,46.15,15
Spanish-South,Norwegian,3.596,60.32,5.81
Jew-Georgian,Yemenite-Highlands,1.099,14.34,44.68
Iranian-South,Lebanese-Muslim,1.219,33.89,35.5
Russian-Southwest,Italian-South,2.793,41.89,14.49
Ukranian-West,Nogai,3.969,44.82,43.22
Ukranian-West,Jew-Libyan,2.022,32.92,13.18
Jew-Turkish,Druze,1.779,32.05,35.02
general-AJ,Kabardian,2.017,43.45,43.37
Tunisian,Moldavian,1.085,46.51,29.66
Turkmen,Bengali,1.036,23.51,89.9
Jew-Ethiopian,Latvia-AJ,0.683,56.95,24.1
Darginian,Spanish-North,1.561,43.05,-3.35
Jew-Kurdish,Yemenite-Desert,1.168,16.48,50.03
Uzbek-West,Turk-West,1.74,37.92,27.75
Assyrian-Caucasus,Slovenian,1.455,46.15,15
Hemshin,Kabardian,1.967,43.45,43.37
Uzbek-West,Mozabite,0.465,32,3
Jew-Yemenite,Czech,0.997,50.1,14.4
Jew-Kurdish,Lebanese-Christian,1.627,33.89,35.5
Turkmen,Tajik,1.677,38.41,69.6
Jew-Tunisian,BedouinA,1.635,31,35
Jew-French,Hazara,0.756,33.5,70
Jew-Georgian,Punjabi,0.599,29.89,74.48
Latvia-AJ,Circassian,1.513,44.28,41.55
Jew-Tunisian,Jew-Turkish,7.321,41.02,28.95
Ukranian-East,Italian-Northwest,3.717,45.05,7.52
Jew-Turkish,Gagauz,1.979,45.54,28.38
Maltese,Balkar,1.604,43.5,43.61
Turk-West,Sardinian,1.823,40,9
Jew-Ethiopian,Uzbek-East,0.13,41.18,69.22
Jew-Libyan,Belarus-AJ,3.706,53.9,27.57
Cypriot,Spanish-Valencia,1.742,39.02,-0.37
Lak,Italian-South,1.533,41.89,14.49
Syrian,Brahui,0.908,30.5,66.5
Jew-Iranian,Sardinian,1.498,40,9
Jew-Georgian,Spanish-Balearic,1.315,39.33,2.37
Jew-Moroccan,Slovakian,2.842,48.67,19.7
Spanish-South,Abkhasian,1.434,43.04,40.93
Russian-Southwest,Tuscan,2.991,43.36,11.12
Iranian-South,Hazara,1.381,33.5,70
Ukranian-West,Spanish-South,3.075,37.7,-3.55
Ukranian-West,Kyrgyz-North,1.59,43.12,81.15
general-AJ,Belarusian,4.862,53.64,27.47
Jew-Turkish,Adygei,1.783,44.39,39.31
Tunisian,Jew-Azeri,0.437,40.88,48.02
Turkmen,French-North,1.502,50.18,2.37
Jew-Ethiopian,Jew-Georgian,0.497,41.72,44.78
Jew-Kurdish,Lithuania-AJ,2.071,54.68,25.32
Darginian,French-Northeast,2.273,48.76,6.13
Assyrian-Caucasus,Slovakian,1.99,48.67,19.7
Uzbek-West,Maltese,0.734,35.94,14.38
Hemshin,Belarusian,2.665,53.64,27.47
Jew-Yemenite,Assyrian-MiddleEast,1.347,37.27,44.21
Jew-Kurdish,Bulgarian,1.766,42.16,24.74
Turkmen,Palestinian,0.85,32.13,35.04
Uzbek-West,Iranian-Central,1.011,31.43,51.07
Latvia-AJ,Iranian-North,1.349,36.29,52.43
Jew-Georgian,Lebanese-Christian,1.108,33.89,35.5
Jew-Tunisian,Nogai,0.998,44.82,43.22
Jew-French,Kumyk,1.582,43.18,46.76
Jew-Tunisian,Syrian,1.183,35.13,36.87
Jew-Turkish,Bengali,0.623,23.51,89.9
Ukranian-East,Ukranian-Central,14.664,50.47,30.3
Maltese,Kabardian,1.565,43.45,43.37
Jew-Libyan,Sindhi,0.908,25.49,69
Jew-Ethiopian,Tatar-Siberia,0.13,57.75,67.71
Turk-West,Baloch,1.04,30.5,66.5
Cypriot,Moldavian,2.08,46.51,29.66
Lak,Tuscan,1.744,43.36,11.12
Syrian,Uzbek-East,0.523,41.18,69.22
Jew-Georgian,Druze,1.302,32.05,35.02
Jew-Iranian,Baloch,1.115,30.5,66.5
Russian-Southwest,Slovenian,10.79,46.15,15
Jew-Moroccan,Corsican,2.254,42.04,9.01
Iranian-South,Kumyk,1.183,43.18,46.76
Ukranian-West,Darginian,1.958,42.18,47.22
Spanish-South,Icelandic,4.862,64.13,-21.93
Ukranian-West,Yemenite-Northwest,0.998,15.74,44.45
general-AJ,Basque-France,3.503,43,0
Jew-Turkish,Tajik,1.096,38.41,69.6
Tunisian,Karachay,0.758,43.94,42.52
Jew-Ethiopian,Assyrian-Caucasus,0.492,40.21,44.34
Turkmen,Ingush,1.52,43.52,44.58
Uzbek-West,Tunisian,0.461,36.82,10.17
Jew-Kurdish,Roman-Iberia,1.068,40.67,-3.14
